strain	accession	date	region	country	location
G23054	8358	2020-03-14	North America	USA	community A
G23116	7587	2020-03-17	North America	USA	community A
G22693	1123	2020-03-18	North America	USA	community A
G22880	5890	2020-03-09	North America	USA	community A
G22981	9529	2020-03-25	North America	USA	community A
G23602	9201	2020-03-18	North America	USA	community A
G23623	659	2020-03-28	North America	USA	community A
G23038	7798	2020-03-25	North America	USA	community A
G23320	7036	2020-03-08	North America	USA	community A
G23412	7621	2020-03-28	North America	USA	community A
G23096	8045	2020-03-28	North America	USA	community A
G23525	5207	2020-03-10	North America	USA	community A
G23354	68	2020-03-17	North America	USA	community A
G22770	2896	2020-03-11	North America	USA	community A
G22929	6551	2020-03-17	North America	USA	community A
G23499	6074	2020-03-20	North America	USA	community A
G23017	5610	2020-03-20	North America	USA	community A
G23533	5829	2020-03-15	North America	USA	community A
G22782	7519	2020-03-10	North America	USA	community A
G22680	896	2020-03-20	North America	USA	community A
G23226	123	2020-03-28	North America	USA	community A
G22843	9013	2020-03-14	North America	USA	community A
G22998	6219	2020-03-18	North America	USA	community A
G23667	6304	2020-03-18	North America	USA	community A
G22893	7012	2020-03-15	North America	USA	community A
G23296	7003	2020-03-20	North America	USA	community A
G23631	7695	2020-03-20	North America	USA	community A
G22872	8539	2020-03-12	North America	USA	community A
G22914	1720	2020-03-17	North America	USA	community A
G23335	2215	2020-03-10	North America	USA	community A
G22821	7942	2020-03-31	North America	USA	community A
G22768	2077	2020-03-20	North America	USA	community A
G23609	4653	2020-03-20	North America	USA	community A
G22757	3765	2020-03-14	North America	USA	community A
G23653	1994	2020-03-28	North America	USA	community A
G23556	6176	2020-03-12	North America	USA	community A
G23287	5469	2020-03-21	North America	USA	community A
G22814	184	2020-03-28	North America	USA	community A
G23087	8069	2020-03-28	North America	USA	community B
G22990	5757	2020-03-09	North America	USA	community B
G23253	685	2020-03-10	North America	USA	community B
G22958	4788	2020-03-31	North America	USA	community B
G22870	6412	2020-03-14	North America	USA	community B
G23517	5823	2020-03-25	North America	USA	community B
G22682	8058	2020-03-31	North America	USA	community B
G22964	3849	2020-03-31	North America	USA	community B
G23209	663	2020-03-28	North America	USA	community B
G22838	4269	2020-03-28	North America	USA	community B
G23314	5104	2020-03-28	North America	USA	community B
G23578	4277	2020-03-31	North America	USA	community B
G23478	6855	2020-03-21	North America	USA	community B
G22850	4507	2020-03-20	North America	USA	community B
G22670	1000	2020-03-01	North America	USA	community B
G22924	9046	2020-03-20	North America	USA	community B
G22708	9382	2020-03-20	North America	USA	community B
G22983	675	2020-03-25	North America	USA	community B
G23566	1311	2020-03-30	North America	USA	community B
G23387	1721	2020-03-12	North America	USA	community B
G22831	202	2020-03-30	North America	USA	community B
G23594	4546	2020-03-05	North America	USA	community B
G23009	3804	2020-03-27	North America	USA	community B
G22991	9033	2020-03-28	North America	USA	community B
