	accession	location	state	infection_date	index_ID	descendants	recovery	strain	region	country
0	1000	1	R	2020-03-01		[]	2020-03-24	G22670	North America	USA
1		1	S			[]		G22671	North America	USA
2		1	S			[]		G22672	North America	USA
3		0	S			[]		G22673	North America	USA
4		1	S			[]		G22674	North America	USA
5		1	S			[]		G22675	North America	USA
6		0	S			[]		G22676	North America	USA
7	2797	1	R	2020-03-14	4464	[]	2020-03-26	G22677	North America	USA
8		0	S			[]		G22678	North America	USA
9		1	S			[]		G22679	North America	USA
10	896	0	R	2020-03-20	685	[]	2020-03-21	G22680	North America	USA
11		1	S			[]		G22681	North America	USA
12	8058	1	I	2020-03-31	5895	[]	2020-04-01	G22682	North America	USA
13		0	S			[]		G22683	North America	USA
14		1	S			[]		G22684	North America	USA
15		1	S			[]		G22685	North America	USA
16		1	S			[]		G22686	North America	USA
17		1	S			[]		G22687	North America	USA
18		1	S			[]		G22688	North America	USA
19		1	S			[]		G22689	North America	USA
20		0	S			[]		G22690	North America	USA
21		1	S			[]		G22691	North America	USA
22		1	S			[]		G22692	North America	USA
23	1123	0	I	2020-03-18	3582	[]	2020-03-21	G22693	North America	USA
24		0	S			[]		G22694	North America	USA
25		1	S			[]		G22695	North America	USA
26		0	S			[]		G22696	North America	USA
27		1	S			[]		G22697	North America	USA
28		1	S			[]		G22698	North America	USA
29		1	S			[]		G22699	North America	USA
30		0	S			[]		G22700	North America	USA
31		0	S			[]		G22701	North America	USA
32	2240	0	I	2020-03-09	5353	[]	2020-04-09	G22702	North America	USA
33		0	S			[]		G22703	North America	USA
34		0	S			[]		G22704	North America	USA
35		0	S			[]		G22705	North America	USA
36		0	S			[]		G22706	North America	USA
37		1	S			[]		G22707	North America	USA
38	9382	1	R	2020-03-20	6551	[]	2020-03-22	G22708	North America	USA
39		0	S			[]		G22709	North America	USA
40		0	S			[]		G22710	North America	USA
41	1976	0	I	2020-03-30	2306	[]	2020-04-04	G22711	North America	USA
42	5845	0	I	2020-03-28	9887	[]	2020-04-02	G22712	North America	USA
43		1	S			[]		G22713	North America	USA
44		0	S			[]		G22714	North America	USA
45		1	S			[]		G22715	North America	USA
46		0	S			[]		G22716	North America	USA
47		0	S			[]		G22717	North America	USA
48		0	S			[]		G22718	North America	USA
49		0	S			[]		G22719	North America	USA
50		0	S			[]		G22720	North America	USA
51		1	S			[]		G22721	North America	USA
52		0	S			[]		G22722	North America	USA
53		1	S			[]		G22723	North America	USA
54		0	S			[]		G22724	North America	USA
55		0	S			[]		G22725	North America	USA
56		1	S			[]		G22726	North America	USA
57		0	S			[]		G22727	North America	USA
58		0	S			[]		G22728	North America	USA
59		0	S			[]		G22729	North America	USA
60		0	S			[]		G22730	North America	USA
61		0	S			[]		G22731	North America	USA
62		1	S			[]		G22732	North America	USA
63	5895	0	I	2020-03-20	6551	[]	2020-04-05	G22733	North America	USA
64	7760	0	R	2020-03-23	2896	[]	2020-03-29	G22734	North America	USA
65		0	S			[]		G22735	North America	USA
66		1	S			[]		G22736	North America	USA
67		1	S			[]		G22737	North America	USA
68		1	S			[]		G22738	North America	USA
69		0	S			[]		G22739	North America	USA
70		1	S			[]		G22740	North America	USA
71		0	S			[]		G22741	North America	USA
72	7563	1	I	2020-03-25	1817	[]	2020-04-04	G22742	North America	USA
73		0	S			[]		G22743	North America	USA
74		0	S			[]		G22744	North America	USA
75		1	S			[]		G22745	North America	USA
76		0	S			[]		G22746	North America	USA
77		0	S			[]		G22747	North America	USA
78		1	S			[]		G22748	North America	USA
79	6470	1	I	2020-03-12	685	[]	2020-04-04	G22749	North America	USA
80		0	S			[]		G22750	North America	USA
81		0	S			[]		G22751	North America	USA
82		0	S			[]		G22752	North America	USA
83		1	S			[]		G22753	North America	USA
84		0	S			[]		G22754	North America	USA
85		1	S			[]		G22755	North America	USA
86	339	0	R	2020-03-18	7519	[]	2020-03-19	G22756	North America	USA
87	3765	0	R	2020-03-14	2240	[]	2020-03-16	G22757	North America	USA
88		1	S			[]		G22758	North America	USA
89		1	S			[]		G22759	North America	USA
90		0	S			[]		G22760	North America	USA
91		1	S			[]		G22761	North America	USA
92		0	S			[]		G22762	North America	USA
93	712	1	I	2020-03-25	7546	[]	2020-04-24	G22763	North America	USA
94		0	S			[]		G22764	North America	USA
95		1	S			[]		G22765	North America	USA
96		0	S			[]		G22766	North America	USA
97		0	S			[]		G22767	North America	USA
98	2077	0	I	2020-03-20	2997	[]	2020-04-10	G22768	North America	USA
99		0	S			[]		G22769	North America	USA
100	2896	0	I	2020-03-11	7519	[]	2020-04-04	G22770	North America	USA
101		1	S			[]		G22771	North America	USA
102		1	S			[]		G22772	North America	USA
103		0	S			[]		G22773	North America	USA
104		1	S			[]		G22774	North America	USA
105		0	S			[]		G22775	North America	USA
106		1	S			[]		G22776	North America	USA
107		0	S			[]		G22777	North America	USA
108		1	S			[]		G22778	North America	USA
109		0	S			[]		G22779	North America	USA
110		0	S			[]		G22780	North America	USA
111		0	S			[]		G22781	North America	USA
112	7519	0	I	2020-03-10	1479	[]	2020-03-24	G22782	North America	USA
113		1	S			[]		G22783	North America	USA
114		0	S			[]		G22784	North America	USA
115		0	S			[]		G22785	North America	USA
116		0	S			[]		G22786	North America	USA
117		1	S			[]		G22787	North America	USA
118		0	S			[]		G22788	North America	USA
119		0	S			[]		G22789	North America	USA
120		1	S			[]		G22790	North America	USA
121		0	S			[]		G22791	North America	USA
122	6551	1	I	2020-03-20	2797	[]	2020-04-15	G22792	North America	USA
123		1	S			[]		G22793	North America	USA
124		0	S			[]		G22794	North America	USA
125		0	S			[]		G22795	North America	USA
126	3582	1	R	2020-03-15	2240	[]	2020-03-23	G22796	North America	USA
127		0	S			[]		G22797	North America	USA
128		1	S			[]		G22798	North America	USA
129		1	S			[]		G22799	North America	USA
130		1	S			[]		G22800	North America	USA
131		1	S			[]		G22801	North America	USA
132		1	S			[]		G22802	North America	USA
133		1	S			[]		G22803	North America	USA
134		1	S			[]		G22804	North America	USA
135		1	S			[]		G22805	North America	USA
136		1	S			[]		G22806	North America	USA
137		1	S			[]		G22807	North America	USA
138		1	S			[]		G22808	North America	USA
139		0	S			[]		G22809	North America	USA
140		0	S			[]		G22810	North America	USA
141		0	S			[]		G22811	North America	USA
142		1	S			[]		G22812	North America	USA
143		0	S			[]		G22813	North America	USA
144	184	0	I	2020-03-28	6219	[]	2020-04-01	G22814	North America	USA
145		1	S			[]		G22815	North America	USA
146		0	S			[]		G22816	North America	USA
147		0	S			[]		G22817	North America	USA
148	9861	1	I	2020-03-28	9046	[]	2020-04-05	G22818	North America	USA
149		0	S			[]		G22819	North America	USA
150		1	S			[]		G22820	North America	USA
151	7942	0	I	2020-03-31	2240	[]	2020-04-01	G22821	North America	USA
152		0	S			[]		G22822	North America	USA
153		0	S			[]		G22823	North America	USA
154	2917	1	I	2020-03-02	1000	[]	2020-03-22	G22824	North America	USA
155		0	S			[]		G22825	North America	USA
156		0	S			[]		G22826	North America	USA
157		0	S			[]		G22827	North America	USA
158		0	S			[]		G22828	North America	USA
159		1	S			[]		G22829	North America	USA
160		1	S			[]		G22830	North America	USA
161	202	1	R	2020-03-30	6551	[]	2020-03-31	G22831	North America	USA
162		1	S			[]		G22832	North America	USA
163		1	S			[]		G22833	North America	USA
164		0	S			[]		G22834	North America	USA
165		0	S			[]		G22835	North America	USA
166		0	S			[]		G22836	North America	USA
167	9640	1	I	2020-03-27	712	[]	2020-04-08	G22837	North America	USA
168	4269	1	I	2020-03-28	9046	[]	2020-04-06	G22838	North America	USA
169		1	S			[]		G22839	North America	USA
170		0	S			[]		G22840	North America	USA
171		1	S			[]		G22841	North America	USA
172		1	S			[]		G22842	North America	USA
173	9013	0	R	2020-03-14	5757	[]	2020-03-15	G22843	North America	USA
174		0	S			[]		G22844	North America	USA
175		1	S			[]		G22845	North America	USA
176		1	S			[]		G22846	North America	USA
177		1	S			[]		G22847	North America	USA
178		0	S			[]		G22848	North America	USA
179		1	S			[]		G22849	North America	USA
180	4507	1	I	2020-03-20	2797	[]	2020-03-31	G22850	North America	USA
181		0	S			[]		G22851	North America	USA
182		0	S			[]		G22852	North America	USA
183		0	S			[]		G22853	North America	USA
184	1586	1	I	2020-03-20	9887	[]	2020-04-02	G22854	North America	USA
185		0	S			[]		G22855	North America	USA
186		1	S			[]		G22856	North America	USA
187		1	S			[]		G22857	North America	USA
188		1	S			[]		G22858	North America	USA
189		0	S			[]		G22859	North America	USA
190		0	S			[]		G22860	North America	USA
191		1	S			[]		G22861	North America	USA
192		0	S			[]		G22862	North America	USA
193		1	S			[]		G22863	North America	USA
194		0	S			[]		G22864	North America	USA
195		0	S			[]		G22865	North America	USA
196	5122	0	I	2020-03-28	2917	[]	2020-04-14	G22866	North America	USA
197	1838	0	I	2020-03-14	3722	[]	2020-03-15	G22867	North America	USA
198		1	S			[]		G22868	North America	USA
199		1	S			[]		G22869	North America	USA
200	6412	1	I	2020-03-14	1817	[]	2020-03-21	G22870	North America	USA
201		0	S			[]		G22871	North America	USA
202	8539	0	R	2020-03-12	4615	[]	2020-03-13	G22872	North America	USA
203	9607	1	R	2020-03-03	2917	[]	2020-03-04	G22873	North America	USA
204		1	S			[]		G22874	North America	USA
205		1	S			[]		G22875	North America	USA
206		0	S			[]		G22876	North America	USA
207		0	S			[]		G22877	North America	USA
208		1	S			[]		G22878	North America	USA
209		1	S			[]		G22879	North America	USA
210	5890	0	R	2020-03-09	7922	[]	2020-03-11	G22880	North America	USA
211		0	S			[]		G22881	North America	USA
212		1	S			[]		G22882	North America	USA
213		1	S			[]		G22883	North America	USA
214		0	S			[]		G22884	North America	USA
215		0	S			[]		G22885	North America	USA
