strain	accession	date	region	country	local
G22670	1000	2020-03-01	North America	USA	community A
G22673	5031	2020-03-26	North America	USA	community A
G22680	9857	2020-03-19	North America	USA	community B
G22684	6658	2020-03-29	North America	USA	community B
G22690	3492	2020-03-07	North America	USA	community A
G22691	6300	2020-03-10	North America	USA	community B
G22700	7388	2020-03-29	North America	USA	community B
G22704	8670	2020-03-20	North America	USA	community B
G22710	4287	2020-03-09	North America	USA	community A
G22714	9484	2020-03-22	North America	USA	community B
G22718	6700	2020-03-30	North America	USA	community A
G22725	7814	2020-03-26	North America	USA	community A
G22726	3614	2020-03-24	North America	USA	community A
G22729	923	2020-03-29	North America	USA	community A
G22731	5623	2020-03-26	North America	USA	community B
G22732	7373	2020-03-23	North America	USA	community B
G22734	4731	2020-03-21	North America	USA	community A
G22737	7457	2020-03-16	North America	USA	community A
G22741	7784	2020-03-29	North America	USA	community B
G22746	703	2020-03-22	North America	USA	community A
G22751	3467	2020-03-22	North America	USA	community B
G22755	3933	2020-03-29	North America	USA	community A
G22760	8648	2020-03-26	North America	USA	community A
G22762	3006	2020-03-31	North America	USA	community A
G22764	1209	2020-03-24	North America	USA	community B
G22768	9115	2020-03-21	North America	USA	community B
G22772	6989	2020-03-25	North America	USA	community A
G22778	4531	2020-03-29	North America	USA	community B
G22780	8104	2020-03-27	North America	USA	community B
G22781	4551	2020-03-21	North America	USA	community A
G22783	8047	2020-03-26	North America	USA	community A
G22787	1899	2020-03-18	North America	USA	community B
G22791	6955	2020-03-21	North America	USA	community A
G22792	7086	2020-03-31	North America	USA	community B
G22793	5602	2020-03-21	North America	USA	community B
G22797	458	2020-03-25	North America	USA	community A
G22799	9096	2020-03-29	North America	USA	community B
G22801	8517	2020-03-29	North America	USA	community A
G22807	1595	2020-03-26	North America	USA	community B
G22811	9516	2020-03-31	North America	USA	community A
G22818	3553	2020-03-26	North America	USA	community B
G22822	8040	2020-03-22	North America	USA	community B
G22826	7034	2020-03-29	North America	USA	community B
G22834	5790	2020-03-27	North America	USA	community A
G22836	517	2020-03-29	North America	USA	community A
G22843	7338	2020-03-31	North America	USA	community B
G22845	1692	2020-03-22	North America	USA	community B
G22847	7639	2020-03-27	North America	USA	community B
G22856	7951	2020-03-31	North America	USA	community A
G22858	3428	2020-03-24	North America	USA	community B
G22860	1603	2020-03-24	North America	USA	community A
G22861	5235	2020-03-30	North America	USA	community B
G22869	3094	2020-03-01	North America	USA	community A
G22873	8467	2020-03-24	North America	USA	community B
G22876	9683	2020-03-29	North America	USA	community A
G22884	6220	2020-03-16	North America	USA	community B
G22885	3655	2020-03-18	North America	USA	community A
G22886	3947	2020-03-31	North America	USA	community A
G22888	4453	2020-03-19	North America	USA	community A
G22895	8369	2020-03-30	North America	USA	community A
G22898	5012	2020-03-19	North America	USA	community B
G22899	9677	2020-03-26	North America	USA	community B
G22902	332	2020-03-26	North America	USA	community B
G22909	9962	2020-03-11	North America	USA	community B
G22918	1537	2020-03-22	North America	USA	community B
G22924	2397	2020-03-04	North America	USA	community A
G22930	4757	2020-03-26	North America	USA	community A
G22933	3329	2020-03-27	North America	USA	community A
G22944	7927	2020-03-24	North America	USA	community B
G22948	1663	2020-03-25	North America	USA	community B
G22950	3005	2020-03-29	North America	USA	community A
G22952	7930	2020-03-30	North America	USA	community A
G22955	2676	2020-03-11	North America	USA	community A
G22959	9470	2020-03-23	North America	USA	community B
G22978	2192	2020-03-16	North America	USA	community B
G22979	4892	2020-03-22	North America	USA	community B
G22983	3661	2020-03-27	North America	USA	community B
G22990	9499	2020-03-30	North America	USA	community B
G22991	1123	2020-03-27	North America	USA	community B
G22994	4881	2020-03-30	North America	USA	community A
G22998	2603	2020-03-27	North America	USA	community B
G23005	3669	2020-03-30	North America	USA	community B
G23007	4224	2020-03-11	North America	USA	community B
G23008	2898	2020-03-29	North America	USA	community A
G23010	2702	2020-03-29	North America	USA	community B
G23015	8315	2020-03-18	North America	USA	community A
G23017	7094	2020-03-29	North America	USA	community B
G23018	4985	2020-03-23	North America	USA	community B
G23023	2904	2020-03-24	North America	USA	community B
G23026	8175	2020-03-26	North America	USA	community A
G23030	5050	2020-03-25	North America	USA	community A
G23035	9801	2020-03-31	North America	USA	community B
G23040	407	2020-03-25	North America	USA	community B
G23041	9622	2020-03-22	North America	USA	community B
G23045	7735	2020-03-31	North America	USA	community A
G23048	7124	2020-03-29	North America	USA	community A
G23053	8400	2020-03-20	North America	USA	community B
G23054	1704	2020-03-25	North America	USA	community A
G23057	7770	2020-03-24	North America	USA	community B
G23058	7540	2020-03-19	North America	USA	community B
G23061	4186	2020-03-26	North America	USA	community A
G23068	9866	2020-03-31	North America	USA	community A
