strain	accession	date	region	country	location
G22670	1000	2020-03-01	North America	USA	community B
G22677	2797	2020-03-14	North America	USA	community B
G22680	896	2020-03-20	North America	USA	community A
G22682	8058	2020-03-31	North America	USA	community B
G22693	1123	2020-03-18	North America	USA	community A
G22702	2240	2020-03-09	North America	USA	community A
G22708	9382	2020-03-20	North America	USA	community B
G22711	1976	2020-03-30	North America	USA	community A
G22712	5845	2020-03-28	North America	USA	community A
G22733	5895	2020-03-20	North America	USA	community A
G22734	7760	2020-03-23	North America	USA	community A
G22742	7563	2020-03-25	North America	USA	community B
G22749	6470	2020-03-12	North America	USA	community B
G22756	339	2020-03-18	North America	USA	community A
G22757	3765	2020-03-14	North America	USA	community A
G22763	712	2020-03-25	North America	USA	community B
G22768	2077	2020-03-20	North America	USA	community A
G22770	2896	2020-03-11	North America	USA	community A
G22782	7519	2020-03-10	North America	USA	community A
G22792	6551	2020-03-20	North America	USA	community B
G22796	3582	2020-03-15	North America	USA	community B
G22814	184	2020-03-28	North America	USA	community A
G22818	9861	2020-03-28	North America	USA	community B
G22821	7942	2020-03-31	North America	USA	community A
G22824	2917	2020-03-02	North America	USA	community B
G22831	202	2020-03-30	North America	USA	community B
G22837	9640	2020-03-27	North America	USA	community B
G22838	4269	2020-03-28	North America	USA	community B
G22843	9013	2020-03-14	North America	USA	community A
G22850	4507	2020-03-20	North America	USA	community B
G22854	1586	2020-03-20	North America	USA	community B
G22866	5122	2020-03-28	North America	USA	community A
G22867	1838	2020-03-14	North America	USA	community A
G22870	6412	2020-03-14	North America	USA	community B
G22872	8539	2020-03-12	North America	USA	community A
G22873	9607	2020-03-03	North America	USA	community B
G22880	5890	2020-03-09	North America	USA	community A
G22886	5532	2020-03-31	North America	USA	community A
G22887	2306	2020-03-28	North America	USA	community A
G22890	8235	2020-03-30	North America	USA	community B
G22893	7012	2020-03-15	North America	USA	community A
G22902	7596	2020-03-31	North America	USA	community A
G22910	5311	2020-03-20	North America	USA	community B
G22914	1720	2020-03-17	North America	USA	community A
G22921	7683	2020-03-27	North America	USA	community B
G22924	9046	2020-03-20	North America	USA	community B
G22926	3538	2020-03-28	North America	USA	community A
G22929	6551	2020-03-17	North America	USA	community A
G22939	4717	2020-03-28	North America	USA	community B
G22958	4788	2020-03-31	North America	USA	community B
G22963	4464	2020-03-11	North America	USA	community B
G22964	3849	2020-03-31	North America	USA	community B
G22966	1817	2020-03-12	North America	USA	community B
G22975	3027	2020-03-30	North America	USA	community A
G22981	9529	2020-03-25	North America	USA	community A
G22983	675	2020-03-25	North America	USA	community B
G22990	5757	2020-03-09	North America	USA	community B
G22991	9033	2020-03-28	North America	USA	community B
G22998	6219	2020-03-18	North America	USA	community A
G23009	3804	2020-03-27	North America	USA	community B
G23017	5610	2020-03-20	North America	USA	community A
G23032	7546	2020-03-20	North America	USA	community B
G23038	7798	2020-03-25	North America	USA	community A
G23041	3722	2020-03-12	North America	USA	community A
G23047	8676	2020-03-19	North America	USA	community B
G23052	3570	2020-03-14	North America	USA	community B
G23054	8358	2020-03-14	North America	USA	community A
G23058	2606	2020-03-29	North America	USA	community A
G23067	165	2020-03-28	North America	USA	community B
G23068	7918	2020-03-25	North America	USA	community B
G23075	831	2020-03-28	North America	USA	community A
G23087	8069	2020-03-28	North America	USA	community B
G23096	8045	2020-03-28	North America	USA	community A
G23097	5897	2020-03-30	North America	USA	community B
G23101	2172	2020-03-17	North America	USA	community B
G23102	2854	2020-03-12	North America	USA	community B
G23116	7587	2020-03-17	North America	USA	community A
G23122	9671	2020-03-27	North America	USA	community B
G23123	2006	2020-03-30	North America	USA	community B
G23128	8083	2020-03-25	North America	USA	community A
G23142	1219	2020-03-30	North America	USA	community B
G23143	3441	2020-03-28	North America	USA	community B
G23147	5897	2020-03-25	North America	USA	community A
G23157	2453	2020-03-28	North America	USA	community B
G23163	1479	2020-03-09	North America	USA	community A
G23165	3823	2020-03-12	North America	USA	community B
G23172	5353	2020-03-07	North America	USA	community A
G23189	198	2020-03-04	North America	USA	community B
G23191	3106	2020-03-05	North America	USA	community B
G23209	663	2020-03-28	North America	USA	community B
G23211	3418	2020-03-28	North America	USA	community B
G23219	4676	2020-03-07	North America	USA	community B
G23226	123	2020-03-28	North America	USA	community A
G23236	2337	2020-03-27	North America	USA	community B
G23237	2147	2020-03-28	North America	USA	community B
G23238	2808	2020-03-12	North America	USA	community B
G23244	9887	2020-03-19	North America	USA	community B
G23246	5989	2020-03-23	North America	USA	community A
G23253	685	2020-03-10	North America	USA	community B
G23254	2054	2020-03-27	North America	USA	community A
G23265	8257	2020-03-17	North America	USA	community B
G23284	3803	2020-03-28	North America	USA	community B
G23285	2997	2020-03-09	North America	USA	community B
G23287	5469	2020-03-21	North America	USA	community A
G23296	7003	2020-03-20	North America	USA	community A
G23297	850	2020-03-27	North America	USA	community B
G23314	5104	2020-03-28	North America	USA	community B
G23315	5143	2020-03-28	North America	USA	community B
G23320	7036	2020-03-08	North America	USA	community A
G23330	1838	2020-03-18	North America	USA	community A
G23333	4615	2020-03-10	North America	USA	community B
G23335	2215	2020-03-10	North America	USA	community A
G23336	7922	2020-03-07	North America	USA	community B
G23344	8250	2020-03-31	North America	USA	community B
G23346	110	2020-03-12	North America	USA	community B
G23353	7948	2020-03-20	North America	USA	community A
G23354	68	2020-03-17	North America	USA	community A
G23356	2468	2020-03-25	North America	USA	community B
G23377	3655	2020-03-15	North America	USA	community B
G23380	2363	2020-03-12	North America	USA	community A
G23383	2381	2020-03-20	North America	USA	community B
G23384	2603	2020-03-25	North America	USA	community B
G23387	1721	2020-03-12	North America	USA	community B
G23394	1153	2020-03-23	North America	USA	community A
G23412	7621	2020-03-28	North America	USA	community A
G23414	5646	2020-03-27	North America	USA	community B
G23439	6422	2020-03-20	North America	USA	community B
G23442	7590	2020-03-28	North America	USA	community A
G23459	6073	2020-03-12	North America	USA	community B
G23461	9412	2020-03-28	North America	USA	community B
G23470	4196	2020-03-10	North America	USA	community B
G23471	265	2020-03-28	North America	USA	community B
G23474	2823	2020-03-27	North America	USA	community A
G23478	6855	2020-03-21	North America	USA	community B
G23479	6884	2020-03-28	North America	USA	community A
G23486	2126	2020-03-12	North America	USA	community B
G23488	7828	2020-03-25	North America	USA	community A
G23497	8214	2020-03-23	North America	USA	community A
G23499	6074	2020-03-20	North America	USA	community A
G23500	6608	2020-03-06	North America	USA	community B
G23511	2114	2020-03-10	North America	USA	community B
G23517	5823	2020-03-25	North America	USA	community B
G23523	6822	2020-03-28	North America	USA	community A
G23524	6555	2020-03-31	North America	USA	community B
G23525	5207	2020-03-10	North America	USA	community A
G23533	5829	2020-03-15	North America	USA	community A
G23536	6911	2020-03-06	North America	USA	community A
G23542	7197	2020-03-28	North America	USA	community B
G23545	4154	2020-03-23	North America	USA	community A
G23550	7514	2020-03-18	North America	USA	community B
G23556	6176	2020-03-12	North America	USA	community A
G23557	4620	2020-03-20	North America	USA	community B
G23565	1823	2020-03-13	North America	USA	community B
G23566	1311	2020-03-30	North America	USA	community B
G23571	2571	2020-03-30	North America	USA	community B
G23575	9990	2020-03-08	North America	USA	community B
G23578	4277	2020-03-31	North America	USA	community B
G23591	7069	2020-03-09	North America	USA	community B
G23594	4546	2020-03-05	North America	USA	community B
G23602	9201	2020-03-18	North America	USA	community A
G23607	2193	2020-03-30	North America	USA	community A
G23609	4653	2020-03-20	North America	USA	community A
G23623	659	2020-03-28	North America	USA	community A
G23625	9051	2020-03-14	North America	USA	community A
G23630	7880	2020-03-31	North America	USA	community B
G23631	7695	2020-03-20	North America	USA	community A
G23639	3390	2020-03-27	North America	USA	community A
G23641	1198	2020-03-12	North America	USA	community B
G23642	941	2020-03-28	North America	USA	community B
G23651	7349	2020-03-15	North America	USA	community B
G23653	1994	2020-03-28	North America	USA	community A
G23660	5936	2020-03-04	North America	USA	community B
G23667	6304	2020-03-18	North America	USA	community A
